"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "SQL", "HTML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\README.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\auth\check_user.sql", "SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\auth\register_user.sql", "SQL", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\seed\stock.sql", "SQL", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\seed\users.sql", "SQL", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\seed\users_stock.sql", "SQL", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\add_qty.sql", "SQL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\add_stock.sql", "SQL", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\change_qty.sql", "SQL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\check_qty.sql", "SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\check_stock.sql", "SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\delete_stock.sql", "SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\get_stock_id.sql", "SQL", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\return_stocks.sql", "SQL", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\db\user\subtract_qty.sql", "SQL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\HAL\DevMtn\Curriculum\stonks-personal-project\stonks\package-lock.json", "JSON", 15220, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15221
